timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,ul_jitter_ms,ul_loss_pct,fh_late_total,fh_lead_mean,fh_lead_min,trial_dir,notes
2026-05-31T14:04:08,8,1,ok,10.0.0.125,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,94.003,41.214,135.217,135.224,4.999,0.000,1.987,0.00,0,12.01,7,/home/jesse/oran_lab/logs/iq_width_sweep/20260531_140241/iq8,
2026-05-31T14:05:41,9,1,ok,10.0.0.126,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,104.947,45.822,150.769,150.777,4.999,0.000,1.986,0.00,0,12.00,9,/home/jesse/oran_lab/logs/iq_width_sweep/20260531_140241/iq9,
2026-05-31T14:07:14,12,1,ok,10.0.0.127,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,56,137.779,59.646,197.425,197.436,5.001,0.000,1.985,0.00,0,12.00,8,/home/jesse/oran_lab/logs/iq_width_sweep/20260531_140241/iq12,
2026-05-31T14:08:56,16,0,ok,10.0.0.128,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,56,177.612,76.414,254.026,254.050,5.001,0.000,1.979,0.00,0,12.00,9,/home/jesse/oran_lab/logs/iq_width_sweep/20260531_140241/iq16,
