timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,channel_model_id,delay_spread_ns,mobility_mps,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-27T15:46:49,9,1,ok,10.0.0.73,1,TDL-A,0,10.0,1.5,4049760000,24,24,24,24,1,1,1,64,33.461,0.000,39.000,108,45.427,108.900,154.327,154.345,0.000,0.367,/home/jesse/oran_lab/logs/iq_width_sweep/20260527_154413/iq9,UL iperf failed
2026-05-27T15:48:36,16,0,ue-timeout,,1,TDL-A,0,10.0,1.5,4049760000,24,24,24,24,1,1,1,0,,,,64,72.960,182.321,255.281,255.295,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/20260527_154413/iq16,
