=== sample 1 13:11:23 ===
Linux 6.17.0-29-generic (funlab-B550-EAGLE-WIFI6) 	05/30/2026 	_x86_64_	(32 CPU)

01:11:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:24 PM  all   13.83    0.00    3.22    0.00    0.00    0.03    0.00    0.00    0.00   82.92
01:11:24 PM    0   16.49    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   74.23
01:11:24 PM    1    9.18    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   88.78
01:11:24 PM    2    6.06    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   90.91
01:11:24 PM    3    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:11:24 PM    4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:11:24 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM    7    0.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
01:11:24 PM    8   72.28    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   26.73
01:11:24 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   10   15.19    0.00   40.51    0.00    0.00    0.00    0.00    0.00    0.00   44.30
01:11:24 PM   11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:11:24 PM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:11:24 PM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:11:24 PM   14   16.42    0.00   58.21    0.00    0.00    0.00    0.00    0.00    0.00   25.37
01:11:24 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:24 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   13.83    0.00    3.22    0.00    0.00    0.03    0.00    0.00    0.00   82.92
Average:       0   16.49    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   74.23
Average:       1    9.18    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   88.78
Average:       2    6.06    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   90.91
Average:       3    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
Average:       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
Average:       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       7    0.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
Average:       8   72.28    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   26.73
Average:       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      10   15.19    0.00   40.51    0.00    0.00    0.00    0.00    0.00    0.00   44.30
Average:      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      14   16.42    0.00   58.21    0.00    0.00    0.00    0.00    0.00    0.00   25.37
Average:      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
=== sample 2 13:11:24 ===
Linux 6.17.0-29-generic (funlab-B550-EAGLE-WIFI6) 	05/30/2026 	_x86_64_	(32 CPU)

01:11:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:25 PM  all   18.38    0.00    4.24    0.00    0.00    0.00    0.00    0.00    0.00   77.38
01:11:25 PM    0   10.20    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   77.55
01:11:25 PM    1    8.08    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   84.85
01:11:25 PM    2    3.06    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:11:25 PM    3    7.07    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   86.87
01:11:25 PM    4   14.00    0.00   30.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
01:11:25 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM    7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:11:25 PM    8   44.44    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   54.55
01:11:25 PM    9   56.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   44.00
01:11:25 PM   10   14.10    0.00   41.03    0.00    0.00    0.00    0.00    0.00    0.00   44.87
01:11:25 PM   11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:11:25 PM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:11:25 PM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:11:25 PM   14   16.42    0.00   58.21    0.00    0.00    0.00    0.00    0.00    0.00   25.37
01:11:25 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   17   56.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   44.00
01:11:25 PM   18   56.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   44.00
01:11:25 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:25 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   18.38    0.00    4.24    0.00    0.00    0.00    0.00    0.00    0.00   77.38
Average:       0   10.20    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   77.55
Average:       1    8.08    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   84.85
Average:       2    3.06    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   91.84
Average:       3    7.07    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   86.87
Average:       4   14.00    0.00   30.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
Average:       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
