timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,channel_model_id,delay_spread_ns,mobility_mps,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-28T11:50:58,9,1,ok,10.0.0.76,1,TDL-A,0,10.0,1.5,4049760000,24,24,24,24,1,1,1,64,29.098,0.000,39.000,161,45.427,108.900,154.327,154.342,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/20260528_114713/iq9,UL iperf failed DL iperf failed
2026-05-28T11:52:45,16,0,ue-timeout,,1,TDL-A,0,10.0,1.5,4049760000,24,24,24,24,1,1,1,0,,,,60,72.959,182.321,255.280,255.290,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/20260528_114713/iq16,
