timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-30T11:34:18,8,1,ok,10.0.0.34,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,27,94.003,41.214,135.217,135.222,4.643,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_tcp_20260530_113326/iq8,
2026-05-30T11:35:19,9,1,ok,10.0.0.35,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,26,104.947,45.822,150.769,150.777,4.608,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_tcp_20260530_113326/iq9,
2026-05-30T11:36:20,10,1,ok,10.0.0.36,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,26,115.891,50.430,166.321,166.330,4.634,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_tcp_20260530_113326/iq10,
