timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-30T11:24:50,8,1,ok,10.0.0.29,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,94.003,41.214,135.217,135.227,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_20260530_112323/iq8,UL iperf failed
2026-05-30T11:26:32,9,1,ok,10.0.0.30,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,104.947,45.822,150.769,150.777,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_20260530_112323/iq9,UL iperf failed
2026-05-30T11:28:05,10,1,ok,10.0.0.31,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,56,115.891,50.430,166.321,166.330,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_20260530_112323/iq10,UL iperf failed
2026-05-30T11:29:38,12,1,ok,10.0.0.32,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,56,137.778,59.646,197.424,197.436,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_20260530_112323/iq12,UL iperf failed
2026-05-30T11:31:19,16,0,ok,10.0.0.33,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,177.613,76.414,254.027,254.040,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_20260530_112323/iq16,UL iperf failed
