timestamp,iq_width,comp_method,status,ue_ip,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-26T12:59:42,9,1,ok,10.0.0.36,62,43.008,108.900,151.908,151.918,0.000,6.553,/home/jesse/oran_lab/logs/iq_width_sweep/20260526_125804/iq9,UL iperf failed
2026-05-26T13:01:29,16,0,ue-timeout,,66,72.960,182.321,255.281,255.299,0.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/20260526_125804/iq16,
