timestamp,iq_width,comp_method,status,ue_ip,ue_count,channel_model,carrier_hz,tx_bw_prb,rx_bw_prb,dl_rb,ul_rb,numerology,nb_tx,nb_rx,snr_samples,snr_db_avg,snr_db_min,snr_db_max,fh_samples,fh_rx_mbps_avg,fh_tx_mbps_avg,fh_total_mbps_avg,fh_total_mbps_max,iperf_ul_mbps,iperf_dl_mbps,trial_dir,notes
2026-05-30T11:52:08,8,1,ok,10.0.0.40,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,94.003,41.214,135.217,135.224,4.996,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_udp_20260530_115041/iq8,
2026-05-30T11:53:41,9,1,ok,10.0.0.41,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,56,104.947,45.822,150.769,150.780,5.000,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_udp_20260530_115041/iq9,
2026-05-30T11:55:22,10,1,ok,10.0.0.42,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,115.892,50.430,166.322,166.333,5.001,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_udp_20260530_115041/iq10,
2026-05-30T11:56:55,12,1,ok,10.0.0.43,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,56,137.779,59.646,197.425,197.436,4.997,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_udp_20260530_115041/iq12,
2026-05-30T11:58:37,16,0,ok,10.0.0.44,1,vrtsim,4049760000,24,24,24,24,1,1,1,32,38.550,31.000,38.800,55,177.613,76.414,254.027,254.040,5.001,0.000,/home/jesse/oran_lab/logs/iq_width_sweep/ulval_udp_20260530_115041/iq16,
